name,type,size,parent_directory
metadata_legacy.cpython-312.pyc,file,3038,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__
wheel.cpython-312.pyc,file,1654,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__
wheel_editable.cpython-312.pyc,file,1995,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__
wheel_legacy.cpython-312.pyc,file,3902,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__
__init__.cpython-312.pyc,file,176,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__
check.py,file,6806,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations
freeze.py,file,9816,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations
install,directory,64823,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations
editable_legacy.py,file,1282,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\install
wheel.py,file,27475,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\install
__init__.py,file,51,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\install
__pycache__,directory,36015,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\install
editable_legacy.cpython-312.pyc,file,1790,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\install\__pycache__
wheel.cpython-312.pyc,file,33986,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\install\__pycache__
__init__.cpython-312.pyc,file,239,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\install\__pycache__
prepare.py,file,28868,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations
__init__.py,file,0,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations
__pycache__,directory,43600,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations
check.cpython-312.pyc,file,7552,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\__pycache__
freeze.cpython-312.pyc,file,10087,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\__pycache__
prepare.cpython-312.pyc,file,25791,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\__pycache__
__init__.cpython-312.pyc,file,170,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\__pycache__
pyproject.py,file,7161,C:\Python\678\venv\Lib\site-packages\pip\_internal
req,directory,219593,C:\Python\678\venv\Lib\site-packages\pip\_internal
constructors.py,file,16610,C:\Python\678\venv\Lib\site-packages\pip\_internal\req
